class_date,course_type,level_category,language,predicted_q,final_q
2017-11-06 00:00:00.000,Live,High Beginner,Spanish,14.7569,15
2017-11-06 00:00:00.000,Live,True Beginner,Portuguese,0.6989,1
2017-11-06 00:00:00.000,Private,High Beginner,Spanish,2.4006,2
2017-11-06 00:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 00:00:00.000,Live,High Beginner,Portuguese,0.712,1
2017-11-06 00:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 00:00:00.000,Live,Intermediate,Spanish,7.6831,8
2017-11-06 00:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 00:00:00.000,Private,True Beginner,Spanish,0.9113,1
2017-11-06 00:00:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 00:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 00:00:00.000,Live,True Beginner,Spanish,12.9201,13
2017-11-06 00:30:00.000,Private,True Beginner,Spanish,0.9113,1
2017-11-06 00:30:00.000,Live,High Beginner,Portuguese,0.8246,1
2017-11-06 00:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 00:30:00.000,Private,High Beginner,Spanish,1.9598,2
2017-11-06 00:30:00.000,Live,Intermediate,Spanish,4.3611,4
2017-11-06 00:30:00.000,Live,True Beginner,Spanish,8.8688,9
2017-11-06 00:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 00:30:00.000,Live,High Beginner,Spanish,9.129,9
2017-11-06 00:30:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 00:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 00:30:00.000,Private,Intermediate,Spanish,0.1762,0
2017-11-06 00:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 01:00:00.000,Live,True Beginner,Portuguese,0.8116,1
2017-11-06 01:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 01:00:00.000,Private,True Beginner,Spanish,1.024,1
2017-11-06 01:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 01:00:00.000,Live,High Beginner,Portuguese,0.5993,1
2017-11-06 01:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 01:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 01:00:00.000,Live,High Beginner,Spanish,6.7078,7
2017-11-06 01:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 01:00:00.000,Live,Intermediate,Spanish,4.545,5
2017-11-06 01:00:00.000,Live,True Beginner,Spanish,5.5371,6
2017-11-06 01:00:00.000,Private,High Beginner,Spanish,0.9243,1
2017-11-06 01:30:00.000,Live,True Beginner,Spanish,4.0291,4
2017-11-06 01:30:00.000,Live,Intermediate,Spanish,2.2585,2
2017-11-06 01:30:00.000,Live,High Beginner,Spanish,3.8169,4
2017-11-06 01:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 01:30:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 01:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 01:30:00.000,Live,High Beginner,Portuguese,0.712,1
2017-11-06 01:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 01:30:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 01:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 01:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 01:30:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 02:00:00.000,Live,High Beginner,Portuguese,0.5993,1
2017-11-06 02:00:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 02:00:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 02:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 02:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 02:00:00.000,Live,High Beginner,Spanish,2.8941,3
2017-11-06 02:00:00.000,Live,True Beginner,Spanish,2.5432,3
2017-11-06 02:00:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 02:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 02:00:00.000,Live,Intermediate,Spanish,1.9206,2
2017-11-06 02:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 02:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 02:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 02:30:00.000,Live,High Beginner,Portuguese,0.5993,1
2017-11-06 02:30:00.000,Live,True Beginner,Spanish,1.733,2
2017-11-06 02:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 02:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 02:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 02:30:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 02:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 02:30:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 02:30:00.000,Live,Intermediate,Spanish,0.8852,1
2017-11-06 02:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 02:30:00.000,Live,High Beginner,Spanish,1.1926,1
2017-11-06 03:00:00.000,Live,High Beginner,Spanish,1.8586,2
2017-11-06 03:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 03:00:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 03:00:00.000,Live,True Beginner,Spanish,0.9227,1
2017-11-06 03:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 03:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 03:00:00.000,Live,Intermediate,Spanish,0.557,1
2017-11-06 03:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 03:00:00.000,Live,High Beginner,Portuguese,0.712,1
2017-11-06 03:00:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 03:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 03:00:00.000,Private,True Beginner,Spanish,0.9113,1
2017-11-06 03:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 03:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 03:30:00.000,Live,Intermediate,Spanish,0.8852,1
2017-11-06 03:30:00.000,Live,High Beginner,Portuguese,1.4096,1
2017-11-06 03:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 03:30:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 03:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 03:30:00.000,Live,True Beginner,Spanish,0.9227,1
2017-11-06 03:30:00.000,Live,High Beginner,Spanish,0.9357,1
2017-11-06 03:30:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 03:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 03:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 04:00:00.000,Live,High Beginner,Spanish,1.3052,1
2017-11-06 04:00:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 04:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 04:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 04:00:00.000,Live,High Beginner,Portuguese,0.712,1
2017-11-06 04:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 04:00:00.000,Live,Intermediate,Spanish,0.8852,1
2017-11-06 04:00:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 04:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 04:00:00.000,Live,True Beginner,Spanish,0.9227,1
2017-11-06 04:00:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 04:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 04:30:00.000,Live,Intermediate,Spanish,0.4444,0
2017-11-06 04:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 04:30:00.000,Live,High Beginner,Portuguese,0.5993,1
2017-11-06 04:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 04:30:00.000,Live,High Beginner,Spanish,1.5304,2
2017-11-06 04:30:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 04:30:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 04:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 04:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 04:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 04:30:00.000,Live,True Beginner,Spanish,0.9227,1
2017-11-06 04:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 05:00:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 05:00:00.000,Live,True Beginner,Spanish,0.9227,1
2017-11-06 05:00:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 05:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 05:00:00.000,Live,Intermediate,Spanish,0.8852,1
2017-11-06 05:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 05:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 05:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 05:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 05:00:00.000,Live,High Beginner,Portuguese,0.712,1
2017-11-06 05:00:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 05:00:00.000,Live,High Beginner,Spanish,1.746,2
2017-11-06 05:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 05:30:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 05:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 05:30:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 05:30:00.000,Live,High Beginner,Spanish,2.7814,3
2017-11-06 05:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 05:30:00.000,Live,High Beginner,Portuguese,0.712,1
2017-11-06 05:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 05:30:00.000,Live,True Beginner,Spanish,0.9227,1
2017-11-06 05:30:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 05:30:00.000,Live,Intermediate,Spanish,1.142,1
2017-11-06 05:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 06:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 06:00:00.000,Live,High Beginner,Portuguese,0.712,1
2017-11-06 06:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 06:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 06:00:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 06:00:00.000,Live,Intermediate,Spanish,1.4798,1
2017-11-06 06:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 06:00:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 06:00:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 06:00:00.000,Live,True Beginner,Spanish,2.6558,3
2017-11-06 06:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 06:00:00.000,Live,High Beginner,Spanish,3.2319,3
2017-11-06 06:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 06:30:00.000,Live,Intermediate,Spanish,2.8435,3
2017-11-06 06:30:00.000,Live,Intermediate,Portuguese,0.4046,0
2017-11-06 06:30:00.000,Live,High Beginner,Spanish,3.8169,4
2017-11-06 06:30:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 06:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 06:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 06:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 06:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 06:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 06:30:00.000,Live,True Beginner,Spanish,2.7684,3
2017-11-06 06:30:00.000,Live,High Beginner,Portuguese,0.5993,1
2017-11-06 07:00:00.000,Live,High Beginner,Spanish,5.5501,6
2017-11-06 07:00:00.000,Live,High Beginner,Portuguese,1.4096,1
2017-11-06 07:00:00.000,Live,True Beginner,Spanish,3.1379,3
2017-11-06 07:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 07:00:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 07:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 07:00:00.000,Live,Intermediate,Spanish,3.9916,4
2017-11-06 07:00:00.000,Private,High Beginner,Spanish,0.9243,1
2017-11-06 07:00:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 07:00:00.000,Live,Intermediate,Portuguese,0,0
