ps,ps,ps,ps,ps,i,i,i,off,off,lc,bc,i,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ls,bc,off,ls,bc,ls,bc,off,off,pc,pp,pc,pp,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,ls,bc,lc,bc,ls,bc,ls,bc,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,i,ls,bc,lc,bc,ls,bc,ls,bc,off,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,off,off,lc,bc,i,pp,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,pc,ls,bc,i,lc,bc,i,i,pc,pc,pc,pc,pc,ps,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps
ps,pc,pc,pc,off,off,off,off,off,off,off,lp,bc,i,pc,pc,pp,pc,pc,pp,pc,pc,pc,pc,ps,ps,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,pc,i,ls,bc,off,ls,bc,ls,bc,ls,bc,pc,pc,pc,pp,pc,pc,pc,pc,pc,pc,pc,pc,pp,pp,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,pc,ls,bc,lc,bc,ls,bc,ls,bc,ls,bc,i,pc,pp,pc,pp,pp,pc,pc,pp,pp,ps,ps,pc,ps,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,pc,ls,bc,ls,bc,lc,bc,ls,bc,ls,bc,i,pc,pc,pc,pc,pp,pc,pc,pc,pc,pc,pc,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,pc,pc,ls,bc,i,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,ps,ps,pc,pc,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,ls,bc,ls,bc,lc,bc,off,off,off,ls,bc,ls,bc,off,pc,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pp,pp,pc,pc,ps,ps,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,pc,pc,i,off,ls,bc,ls,bc,ls,bc,ls,bc,off,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pc,pc,pc,ps,pc,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps
pc,pc,ls,bc,off,off,off,off,off,off,off,off,lp,bc,pc,pc,pp,pc,pc,pc,pc,pc,pc,pc,off,pc,pp,pc,pp,pc,pp,pc,pp,pp,pp,pp,pp,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,ls,bc,ls,bc,off,lc,bc,lc,bc,off,off,lc,bc,i,pc,pc,pp,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pc,pc,pp,off,pc,pc,pp,pp,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,ls,bc,i,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,i,pc,pc,pc,pc,pc,pc,pp,pc,pp,pc,pp,pc,pp,pc,pc,pp,pp,pp,pp,pp,pp,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,pc,ls,bc,ls,bc,lc,bc,i,i,lc,bc,lc,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pp,pp,pc,pc,pc,pp,ps,pc,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,ls,bc,ls,bc,off,ls,bc,i,i,off,ls,bc,ls,bc,ls,bc,pc,i,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pc,pc,pc,pc,pp,ps,ps,ps,ps,ps,ps,ps,ps,pc,pc,ls,bc,ls,bc,lc,bc,off,off,off,lc,bc,ls,bc,ls,bc,i,pc,ls,bc,pc,pc,off,off,pc,pc,pc,pc,pc,pc,pp,pp,pc,pc,pc,pc,pp,pc,pp,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,lc,bc,ls,bc,ls,bc,pc,i,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pp,pc,pp,pc,pp,pc,pc,pc,ps,ps,ps,ps,ps,pc,pc
pc,ls,bc,i,off,off,off,off,off,off,off,off,lc,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pc,pc,pc,pc,pp,pp,pc,pp,pc,pp,ps,pc,ps,ps,ps,ps,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,ls,bc,ls,bc,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pc,pc,pc,pp,pp,pp,pp,ps,ps,ps,ps,ps,ps,ps,pc,pc,ls,bc,i,lc,bc,lc,bc,lc,bc,lc,bc,lc,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pc,pc,pc,pc,pp,i,pc,pc,pp,pp,ps,ps,ps,ps,ps,ps,ps,pc,pc,ls,bc,i,lc,bc,lc,bc,off,off,lc,bc,lc,bc,ls,bc,i,pc,off,pc,ls,bc,pc,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pp,ps,pc,ps,ps,ps,ps,pc,pc,pc,ls,bc,i,ls,bc,lc,bc,off,ls,bc,lc,bc,off,ls,bc,i,pc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pp,pc,pp,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,off,lc,bc,lc,bc,off,off,lc,bc,ls,bc,pc,ls,bc,i,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,off,off,off,off,lc,bc,i,i,off,lp,bc,i,pc,ls,bc,ls,bc,ls,bc,i,pc,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pp,pc,pc,pc,pc
pc,ls,bc,i,off,off,off,off,off,off,off,lc,bc,ls,bc,off,pc,pc,i,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pp,pc,pp,pp,pp,pp,pp,pc,pc,pc,pc,pc,ls,bc,i,off,off,off,lc,bc,lc,bc,off,off,off,ls,bc,i,pc,ls,bc,ls,bc,pc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,off,pc,pc,pp,pp,ps,ps,pc,pc,pp,pc,lc,bc,ls,bc,lc,bc,off,lc,bc,lc,bc,off,lp,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ps,ps,ps,pc,pp,pc,i,ls,bc,lc,bc,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pp,pp,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,i,i,off,lc,bc,lc,bc,lc,bc,ls,bc,pc,ls,bc,i,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,pc,i,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,i,ls,bc,ls,bc,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,pc,i,pc,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc
pc,lc,bc,bc,off,off,off,off,off,off,off,off,lc,bc,ls,bc,pc,ls,bc,i,ls,bc,ls,bc,pc,pc,pc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,off,off,off,off,off,off,lc,bc,lc,bc,ls,bc,i,pc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pp,pp,pc,pc,i,ls,bc,lc,bc,off,off,off,lc,bc,lc,bc,off,off,ls,bc,ls,bc,ls,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pp,pp,pc,pp,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pp,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,lc,bc,lc,bc,lc,bc,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,off,off,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,i,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc
ls,bc,lc,bc,off,off,off,off,off,lc,bc,i,i,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,ls,bc,i,pc,off,pc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,lc,bc,ls,bc,pc,ls,bc,i,ls,bc,ls,bc,ls,bc,pc,i,ls,bc,pc,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,i,ls,bc,lc,bc,off,off,off,off,off,off,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,i,pc,off,pc,ls,bc,i,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,off,off,off,off,off,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,i,pc,pc,ls,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,lc,bc,lc,bc,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,i,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,lc,bc,lp,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,ls,bc,i,ls,bc,i,pc,pc,pc,ls,bc,off,pc,ls,bc,i,ls,bc,ls,bc,off,off,off,off,off,off,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,ls,bc,pc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc
ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,ls,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,i,ls,bc,ls,bc,off,off,off,off,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,ls,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,ls,bc,i,i,off,off,off,off,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,off,ls,bc,lc,bc,off,off,off,off,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,ls,bc,i,ls
ls,bc,i,i,off,off,off,off,off,off,off,off,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,ls,bc,i,i,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,ls,bc,lc,bc,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,lc,bc,i,i,off,off,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,lc,bc,lc,bc,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,off,pc,i,pc,i,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,ls,bc,ls,bc,ls
ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,lc,bc,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,i,ls,bc,lc,bc,off,off,off,off,off,off,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,pc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,i,pc,pc,pc,ls,bc,i,ls,bc,lc,bc,off,off,off,off,off,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,ls,bc,ls,bc,ls
lp,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,i,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,off,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,off,off,off,lc,bc,lp,bc,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,i,pc,pc,pc,ls,bc,i,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,lc,bc,i,i,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc
lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,i,pc,pc,pc,pc,pc,pc,pc,ls,bc,i,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,pc,pc,pc,pc,pc,pc,ls,bc,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,pc,pc,pc,pc,pc,ls,bc,ls,bc,off,off,off,off,off,off,off,off,off,off,off,off,off,lc,bc,lp,bc,off,lc,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,pc,ls,bc,pc,pc,ls,bc,i,ls,bc,lc,bc,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,i,i,off,off,off,off,off,off,off,off,off,lc,bc,lc,bc,off,off,off,lp,bc,lp,bc,ls,bc,ls,bc,ls,bc,ls,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,lc,bc,i,i,off,off,off,off,off,off,off,off,off,off,off,off,off,off,lp,bc,lp,bc,off,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc,ls,bc
