date, tbs, tbp, cla 
1/8/2018 0:00,9,2,12
1/8/2018 0:30,0,0,0
1/8/2018 1:00,0,0,0
1/8/2018 1:30,1,1,3
1/8/2018 2:00,1,0,1
1/8/2018 2:30,1,1,1
1/8/2018 3:00,0,0,0
1/8/2018 3:30,0,0,0
1/8/2018 4:00,1,0,0
1/8/2018 4:30,1,0,1
1/8/2018 5:00,0,0,1
1/8/2018 5:30,1,0,2
1/8/2018 6:00,2,2,4
1/8/2018 6:30,2,0,0
1/8/2018 7:00,0,0,1
1/8/2018 7:30,3,2,2
1/8/2018 8:00,1,1,4
1/8/2018 8:30,1,1,5
1/8/2018 9:00,4,2,9
1/8/2018 9:30,2,1,2
1/8/2018 10:00,3,1,0
1/8/2018 10:30,4,1,5
1/8/2018 11:00,2,1,9
1/8/2018 11:30,2,1,2
1/8/2018 12:00,3,0,1
1/8/2018 12:30,7,0,8
1/8/2018 13:00,2,1,7
1/8/2018 13:30,2,1,3
1/8/2018 14:00,1,1,2
1/8/2018 14:30,4,1,6
1/8/2018 15:00,3,1,7
1/8/2018 15:30,2,1,3
1/8/2018 16:00,2,1,4
1/8/2018 16:30,5,1,6
1/8/2018 17:00,3,1,9
1/8/2018 17:30,2,1,7
1/8/2018 18:00,3,0,6
1/8/2018 18:30,7,1,7
1/8/2018 19:00,7,1,10
1/8/2018 19:30,7,0,10
1/8/2018 20:00,4,1,8
1/8/2018 20:30,7,1,12
1/8/2018 21:00,9,1,10
1/8/2018 21:30,10,1,6
1/8/2018 22:00,5,0,10
1/8/2018 22:30,11,1,15
1/8/2018 23:00,6,2,7
1/8/2018 23:30,8,2,7
1/9/2018 0:00,2,0,4
1/9/2018 0:30,3,0,3
1/9/2018 1:00,2,0,2
1/9/2018 1:30,1,2,4
1/9/2018 2:00,1,0,0
1/9/2018 2:30,1,0,1
1/9/2018 3:00,0,0,1
1/9/2018 3:30,0,0,0
1/9/2018 4:00,1,0,0
1/9/2018 4:30,1,0,1
1/9/2018 5:00,0,0,1
1/9/2018 5:30,1,1,2
1/9/2018 6:00,1,1,4
1/9/2018 6:30,2,1,0
1/9/2018 7:00,2,1,0
1/9/2018 7:30,2,2,3
1/9/2018 8:00,2,1,1
1/9/2018 8:30,5,1,4
1/9/2018 9:00,3,1,7
1/9/2018 9:30,3,1,0
1/9/2018 10:00,4,2,1
1/9/2018 10:30,3,1,8
1/9/2018 11:00,6,0,9
1/9/2018 11:30,1,0,1
1/9/2018 12:00,2,1,1
1/9/2018 12:30,6,2,10
1/9/2018 13:00,3,1,6
1/9/2018 13:30,3,0,2
1/9/2018 14:00,0,0,3
1/9/2018 14:30,4,1,6
1/9/2018 15:00,6,1,8
1/9/2018 15:30,2,1,3
1/9/2018 16:00,1,1,3
1/9/2018 16:30,4,1,6
1/9/2018 17:00,7,2,7
1/9/2018 17:30,4,1,7
1/9/2018 18:00,2,1,7
1/9/2018 18:30,5,3,4
1/9/2018 19:00,11,1,4
1/9/2018 19:30,4,1,15
1/9/2018 20:00,3,2,15
1/9/2018 20:30,6,2,8
1/9/2018 21:00,11,0,5
1/9/2018 21:30,6,0,14
1/9/2018 22:00,4,1,14
1/9/2018 22:30,7,2,11
1/9/2018 23:00,10,1,4
1/9/2018 23:30,5,1,7
1/10/2018 0:00,3,1,3
1/10/2018 0:30,3,1,1
1/10/2018 1:00,1,0,3
1/10/2018 1:30,2,1,4
1/10/2018 2:00,0,0,0
1/10/2018 2:30,1,0,1
1/10/2018 3:00,1,0,1
1/10/2018 3:30,0,0,0
1/10/2018 4:00,1,0,0
1/10/2018 4:30,1,0,1
1/10/2018 5:00,0,0,1
1/10/2018 5:30,1,1,2
1/10/2018 6:00,2,2,4
1/10/2018 6:30,2,1,0
1/10/2018 7:00,0,1,0
1/10/2018 7:30,4,1,3
1/10/2018 8:00,3,2,3
1/10/2018 8:30,2,0,3
1/10/2018 9:00,5,0,6
1/10/2018 9:30,5,1,2
1/10/2018 10:00,3,1,2
1/10/2018 10:30,3,1,7
1/10/2018 11:00,5,0,8
1/10/2018 11:30,2,1,2
1/10/2018 12:00,2,1,2
1/10/2018 12:30,7,1,8
1/10/2018 13:00,2,0,5
1/10/2018 13:30,2,1,4
1/10/2018 14:00,3,1,4
1/10/2018 14:30,5,1,4
1/10/2018 15:00,3,1,7
1/10/2018 15:30,2,1,8
1/10/2018 16:00,3,1,3
1/10/2018 16:30,5,1,3
1/10/2018 17:00,3,1,9
1/10/2018 17:30,4,2,12
1/10/2018 18:00,3,1,5
1/10/2018 18:30,5,1,4
1/10/2018 19:00,7,1,8
1/10/2018 19:30,8,1,14
1/10/2018 20:00,2,2,11
1/10/2018 20:30,7,1,10
1/10/2018 21:00,8,0,9
1/10/2018 21:30,9,2,10
1/10/2018 22:00,6,1,11
1/10/2018 22:30,9,0,13
1/10/2018 23:00,7,1,8
1/10/2018 23:30,9,2,8
1/11/2018 0:00,0,0,3
1/11/2018 0:30,1,0,2
1/11/2018 1:00,2,0,3
1/11/2018 1:30,2,2,4
1/11/2018 2:00,1,0,0
1/11/2018 2:30,1,0,1
1/11/2018 3:00,0,0,1
