,new,,,old,,,to create,,
date, tbs, tbp, cla ,TBSPA,TBPOR,INT,TBSPA,TBPOR,INT
1/8/2018 0:00,6,2,9,1,3,9,5,0,0
1/8/2018 0:30,1,1,4,0,1,2,1,0,2
1/8/2018 1:00,0,0,0,1,0,1,0,0,0
1/8/2018 1:30,0,0,0,1,0,1,0,0,0
1/8/2018 2:00,2,2,6,2,3,7,0,0,0
1/8/2018 2:30,1,1,2,0,1,1,1,0,1
1/8/2018 3:00,0,0,0,1,0,1,0,0,0
1/8/2018 3:30,0,0,0,1,0,1,0,0,0
1/8/2018 4:00,2,1,5,2,3,7,0,0,0
1/8/2018 4:30,1,1,1,0,1,1,1,0,0
1/8/2018 5:00,0,0,1,1,0,1,0,0,0
1/8/2018 5:30,0,0,1,1,0,1,0,0,0
1/8/2018 6:00,3,1,3,2,3,6,1,0,0
1/8/2018 6:30,1,0,1,0,1,2,1,0,0
1/8/2018 7:00,0,1,2,1,0,2,0,1,0
1/8/2018 7:30,0,1,1,2,0,2,0,1,0
1/8/2018 8:00,4,1,3,1,2,7,3,0,0
1/8/2018 8:30,0,1,2,0,1,3,0,0,0
1/8/2018 9:00,1,1,5,3,0,2,0,1,3
1/8/2018 9:30,3,1,2,2,0,3,1,1,0
1/8/2018 10:00,5,1,2,1,2,8,4,0,0
1/8/2018 10:30,0,0,6,0,1,4,0,0,2
1/8/2018 11:00,1,1,7,4,0,3,0,1,4
1/8/2018 11:30,4,1,1,3,0,3,1,1,0
1/8/2018 12:00,4,1,3,2,1,8,2,0,0
1/8/2018 12:30,0,1,5,0,1,5,0,0,0
1/8/2018 13:00,2,1,6,4,0,3,0,1,3
1/8/2018 13:30,3,1,5,3,0,3,0,1,2
1/8/2018 14:00,6,1,1,2,2,8,4,0,0
1/8/2018 14:30,3,0,6,0,1,5,3,0,1
1/8/2018 15:00,2,0,8,6,0,3,0,0,5
1/8/2018 15:30,2,2,3,3,0,3,0,2,0
1/8/2018 16:00,3,1,4,2,2,10,1,0,0
1/8/2018 16:30,5,0,6,0,1,6,5,0,0
1/8/2018 17:00,3,2,7,7,0,4,0,2,3
1/8/2018 17:30,0,2,6,4,0,4,0,2,2
1/8/2018 18:00,5,1,9,3,3,13,2,0,0
1/8/2018 18:30,5,1,6,0,1,8,5,0,0
1/8/2018 19:00,3,2,9,10,0,5,0,2,4
1/8/2018 19:30,5,2,7,7,0,4,0,2,3
1/8/2018 20:00,5,1,12,4,2,19,1,0,0
1/8/2018 20:30,4,1,8,0,1,10,4,0,0
1/8/2018 21:00,5,0,12,15,0,5,0,0,7
1/8/2018 21:30,8,1,11,7,0,4,1,1,7
1/8/2018 22:00,10,2,7,4,2,18,6,0,0
1/8/2018 22:30,7,0,6,0,1,9,7,0,0
1/8/2018 23:00,2,1,9,6,0,4,0,1,5
1/8/2018 23:30,5,2,7,5,0,2,0,2,5
1/9/2018 0:00,6,1,7,2,3,10,4,0,0
1/9/2018 0:30,2,0,4,0,1,3,2,0,1
1/9/2018 1:00,0,0,2,2,0,1,0,0,1
1/9/2018 1:30,0,1,1,1,0,1,0,1,0
1/9/2018 2:00,2,1,2,2,3,7,0,0,0
1/9/2018 2:30,1,2,2,0,1,1,1,1,1
1/9/2018 3:00,0,0,1,1,0,1,0,0,0
1/9/2018 3:30,0,0,2,1,0,1,0,0,1
1/9/2018 4:00,3,1,1,2,2,5,1,0,0
1/9/2018 4:30,1,2,1,0,1,1,1,1,0
1/9/2018 5:00,0,0,1,1,0,1,0,0,0
1/9/2018 5:30,0,0,2,1,0,1,0,0,1
1/9/2018 6:00,2,1,4,1,2,6,1,0,0
1/9/2018 6:30,2,2,0,0,1,2,2,1,0
1/9/2018 7:00,2,0,1,1,0,2,1,0,0
1/9/2018 7:30,2,1,1,2,0,2,0,1,0
1/9/2018 8:00,1,1,5,1,2,7,0,0,0
1/9/2018 8:30,5,1,5,0,1,3,5,0,2
1/9/2018 9:00,3,0,0,4,0,3,0,0,0
1/9/2018 9:30,0,1,3,2,0,3,0,1,0
1/9/2018 10:00,1,1,10,2,1,9,0,0,1
1/9/2018 10:30,5,1,5,0,1,4,5,0,1
1/9/2018 11:00,3,0,3,5,0,3,0,0,0
1/9/2018 11:30,1,1,2,3,0,3,0,1,0
1/9/2018 12:00,1,1,11,2,2,8,0,0,3
1/9/2018 12:30,3,2,10,0,1,4,3,1,6
1/9/2018 13:00,3,0,2,5,0,3,0,0,0
1/9/2018 13:30,1,1,2,3,0,3,0,1,0
1/9/2018 14:00,1,1,12,2,2,9,0,0,3
1/9/2018 14:30,3,1,8,0,1,5,3,0,3
1/9/2018 15:00,4,0,2,6,0,3,0,0,0
1/9/2018 15:30,2,1,3,3,0,3,0,1,0
1/9/2018 16:00,1,2,10,2,2,10,0,0,0
1/9/2018 16:30,7,2,5,0,1,6,7,1,0
1/9/2018 17:00,3,1,2,7,0,4,0,1,0
1/9/2018 17:30,3,1,6,4,0,4,0,1,2
1/9/2018 18:00,9,0,7,3,1,15,6,0,0
1/9/2018 18:30,9,1,9,0,1,7,9,0,2
1/9/2018 19:00,2,4,7,10,0,4,0,4,3
1/9/2018 19:30,2,1,14,7,0,5,0,1,9
1/9/2018 20:00,9,1,10,3,2,18,6,0,0
1/9/2018 20:30,9,1,11,0,1,10,9,0,1
1/9/2018 21:00,5,1,8,14,0,4,0,1,4
1/9/2018 21:30,5,0,14,7,0,4,0,0,10
1/9/2018 22:00,10,0,11,4,2,18,6,0,0
1/9/2018 22:30,8,1,4,0,1,9,8,0,0
1/9/2018 23:00,10,2,6,6,0,3,4,2,3
1/9/2018 23:30,3,2,4,5,0,3,0,2,1
1/10/2018 0:00,5,1,3,2,3,10,3,0,0
1/10/2018 0:30,4,1,3,0,1,3,4,0,0
1/10/2018 1:00,2,0,4,2,0,2,0,0,2
1/10/2018 1:30,0,2,1,1,0,1,0,2,0
1/10/2018 2:00,1,1,1,1,3,7,0,0,0
1/10/2018 2:30,1,1,1,0,1,1,1,0,0
1/10/2018 3:00,2,1,1,1,0,1,1,1,0
1/10/2018 3:30,0,1,2,1,0,1,0,1,1
1/10/2018 4:00,1,0,1,2,3,7,0,0,0
1/10/2018 4:30,1,1,1,0,1,1,1,0,0
1/10/2018 5:00,2,1,2,1,0,1,1,1,1
1/10/2018 5:30,0,0,2,1,0,1,0,0,1
1/10/2018 6:00,1,0,2,2,2,6,0,0,0
1/10/2018 6:30,2,1,1,0,1,2,2,0,0
1/10/2018 7:00,3,1,2,1,0,2,2,1,0
1/10/2018 7:30,1,1,2,2,0,2,0,1,0
1/10/2018 8:00,4,1,1,1,2,7,3,0,0
1/10/2018 8:30,1,2,5,0,1,3,1,1,2
1/10/2018 9:00,3,0,8,4,0,3,0,0,5
1/10/2018 9:30,2,0,2,2,0,3,0,0,0
1/10/2018 10:00,1,1,1,1,2,8,0,0,0
1/10/2018 10:30,4,2,8,0,1,4,4,1,4
1/10/2018 11:00,2,1,7,5,0,3,0,1,4
1/10/2018 11:30,3,0,2,3,0,3,0,0,0
1/10/2018 12:00,3,0,2,2,2,8,1,0,0
1/10/2018 12:30,1,1,7,0,1,4,1,0,3
1/10/2018 13:00,6,1,7,5,0,3,1,1,4
1/10/2018 13:30,2,0,2,3,0,3,0,0,0
1/10/2018 14:00,3,2,0,2,2,10,1,0,0
1/10/2018 14:30,2,1,9,0,1,5,2,0,4
1/10/2018 15:00,2,1,6,6,0,3,0,1,3
1/10/2018 15:30,3,1,3,3,0,3,0,1,0
1/10/2018 16:00,7,1,0,2,2,11,5,0,0
1/10/2018 16:30,5,1,9,0,1,6,5,0,3
1/10/2018 17:00,1,1,11,7,0,4,0,1,7
1/10/2018 17:30,5,1,4,4,0,4,1,1,0
1/10/2018 18:00,6,1,0,3,2,14,3,0,0
1/10/2018 18:30,5,1,9,0,1,8,5,0,1
1/10/2018 19:00,4,1,12,9,0,4,0,1,8
1/10/2018 19:30,6,2,11,6,0,4,0,2,7
1/10/2018 20:00,5,1,7,3,3,17,2,0,0
1/10/2018 20:30,12,1,4,0,1,10,12,0,0
1/10/2018 21:00,11,2,6,13,0,4,0,2,2
1/10/2018 21:30,9,0,18,7,0,4,2,0,14
1/10/2018 22:00,10,2,9,4,2,17,6,0,0
1/10/2018 22:30,7,1,6,0,1,9,7,0,0
1/10/2018 23:00,2,1,13,6,0,3,0,1,10
1/10/2018 23:30,5,1,7,5,0,2,0,1,5
1/11/2018 0:00,4,1,5,2,3,9,2,0,0
1/11/2018 0:30,1,3,7,0,1,2,1,2,5
1/11/2018 1:00,3,0,2,2,0,1,1,0,1
1/11/2018 1:30,0,1,3,1,0,1,0,1,2
1/11/2018 2:00,1,1,2,2,3,6,0,0,0
1/11/2018 2:30,1,1,2,0,1,1,1,0,1
1/11/2018 3:00,1,0,1,1,0,1,0,0,0
1/11/2018 3:30,1,1,2,1,0,1,0,1,1
1/11/2018 4:00,1,1,2,2,3,7,0,0,0
1/11/2018 4:30,0,1,3,0,1,1,0,0,2
1/11/2018 5:00,1,1,0,1,0,1,0,1,0
1/11/2018 5:30,1,2,1,1,0,1,0,2,0
1/11/2018 6:00,2,0,2,1,2,6,1,0,0
1/11/2018 6:30,1,0,3,0,1,2,1,0,1
1/11/2018 7:00,1,0,1,1,0,2,0,0,0
1/11/2018 7:30,1,2,2,2,0,2,0,2,0
1/11/2018 8:00,2,1,3,1,1,7,1,0,0
1/11/2018 8:30,1,1,3,0,1,3,1,0,0
1/11/2018 9:00,2,1,2,4,0,2,0,1,0
1/11/2018 9:30,6,0,4,2,0,3,4,0,1
1/11/2018 10:00,5,1,4,2,2,8,3,0,0
1/11/2018 10:30,3,1,5,0,1,4,3,0,1
1/11/2018 11:00,3,1,5,5,0,3,0,1,2
1/11/2018 11:30,2,1,5,3,0,3,0,1,2
1/11/2018 12:00,2,1,7,2,2,8,0,0,0
1/11/2018 12:30,3,2,2,0,1,4,3,1,0
1/11/2018 13:00,3,0,7,5,0,3,0,0,4
1/11/2018 13:30,3,1,5,3,0,3,0,1,2
1/11/2018 14:00,3,1,6,2,2,8,1,0,0
1/11/2018 14:30,3,2,3,0,1,5,3,1,0
1/11/2018 15:00,3,1,4,6,0,3,0,1,1
1/11/2018 15:30,1,1,8,3,0,3,0,1,5
1/11/2018 16:00,7,1,3,2,2,10,5,0,0
1/11/2018 16:30,4,2,2,0,1,6,4,1,0
1/11/2018 17:00,1,1,9,7,0,4,0,1,5
1/11/2018 17:30,1,1,8,4,0,4,0,1,4
1/11/2018 18:00,7,1,6,3,2,13,4,0,0
1/11/2018 18:30,6,0,8,0,1,7,6,0,1
1/11/2018 19:00,7,0,15,9,0,4,0,0,11
1/11/2018 19:30,3,2,7,6,0,4,0,2,3
1/11/2018 20:00,6,1,8,3,1,15,3,0,0
1/11/2018 20:30,7,0,9,0,1,8,7,0,1
1/11/2018 21:00,5,1,10,13,0,4,0,1,6
1/11/2018 21:30,5,1,9,7,0,4,0,1,5
1/11/2018 22:00,6,2,7,3,3,16,3,0,0
1/11/2018 22:30,6,0,6,0,1,7,6,0,0
1/11/2018 23:00,5,1,6,5,0,3,0,1,3
1/11/2018 23:30,6,1,7,4,0,2,2,1,5
1/12/2018 0:00,3,0,3,2,3,8,1,0,0
1/12/2018 0:30,0,0,4,0,1,2,0,0,2
1/12/2018 1:00,2,0,5,2,0,1,0,0,4
1/12/2018 1:30,2,2,2,1,0,1,1,2,1
1/12/2018 2:00,2,2,1,2,3,7,0,0,0
1/12/2018 2:30,0,0,1,0,1,1,0,0,0
1/12/2018 3:00,0,1,2,1,0,1,0,1,1
1/12/2018 3:30,2,1,1,1,0,1,1,1,0
1/12/2018 4:00,2,2,1,2,3,6,0,0,0
1/12/2018 4:30,0,0,2,0,1,1,0,0,1
1/12/2018 5:00,1,0,2,1,0,1,0,0,1
1/12/2018 5:30,1,1,2,1,0,1,0,1,1
1/12/2018 6:00,2,1,4,1,3,6,1,0,0
1/12/2018 6:30,1,1,0,0,1,2,1,0,0
1/12/2018 7:00,1,0,1,1,0,2,0,0,0
1/12/2018 7:30,0,2,2,2,0,2,0,2,0
1/12/2018 8:00,4,1,4,1,2,8,3,0,0
1/12/2018 8:30,2,1,3,0,1,3,2,0,0
1/12/2018 9:00,2,0,6,4,0,2,0,0,4
1/12/2018 9:30,1,1,5,2,0,3,0,1,2
1/12/2018 10:00,2,1,3,1,2,8,1,0,0
1/12/2018 10:30,5,1,3,0,1,3,5,0,0
1/12/2018 11:00,1,1,5,4,0,3,0,1,2
1/12/2018 11:30,0,2,3,3,0,2,0,2,1
1/12/2018 12:00,2,0,7,2,2,8,0,0,0
1/12/2018 12:30,4,2,3,0,1,4,4,1,0
1/12/2018 13:00,2,1,5,4,0,3,0,1,2
1/12/2018 13:30,1,1,7,2,0,3,0,1,4
1/12/2018 14:00,2,1,3,1,2,7,1,0,0
1/12/2018 14:30,5,1,3,0,1,4,5,0,0
1/12/2018 15:00,3,0,7,5,0,3,0,0,4
1/12/2018 15:30,4,1,4,3,0,3,1,1,1
1/12/2018 16:00,2,1,4,2,2,10,0,0,0
1/12/2018 16:30,2,1,5,0,1,5,2,0,0
1/12/2018 17:00,4,1,8,6,0,3,0,1,5
1/12/2018 17:30,5,0,3,3,0,3,2,0,0
1/12/2018 18:00,4,1,4,2,1,10,2,0,0
1/12/2018 18:30,2,1,7,0,1,5,2,0,2
1/12/2018 19:00,5,1,6,8,0,3,0,1,3
1/12/2018 19:30,5,1,2,5,0,3,0,1,0
1/12/2018 20:00,7,0,9,2,2,11,5,0,0
1/12/2018 20:30,8,0,7,0,1,6,8,0,1
1/12/2018 21:00,3,2,5,9,0,3,0,2,2
1/12/2018 21:30,5,1,4,5,0,3,0,1,1
1/12/2018 22:00,5,1,9,2,2,12,3,0,0
1/12/2018 22:30,3,1,5,0,1,5,3,0,0
1/12/2018 23:00,5,1,6,4,0,2,1,1,4
1/12/2018 23:30,3,1,3,3,0,2,0,1,1
